Sno,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths
1,30/01/20,Kerala,1,0,0,0
2,31/01/20,Kerala,1,0,0,0
3,1/2/20,Kerala,2,0,0,0
4,2/2/20,Kerala,3,0,0,0
5,3/2/20,Kerala,3,0,0,0
6,4/2/20,Kerala,3,0,0,0
7,5/2/20,Kerala,3,0,0,0
8,6/2/20,Kerala,3,0,0,0
9,7/2/20,Kerala,3,0,0,0
10,8/2/20,Kerala,3,0,0,0
11,9/2/20,Kerala,3,0,0,0
12,10/2/20,Kerala,3,0,0,0
13,11/2/20,Kerala,3,0,0,0
14,12/2/20,Kerala,3,0,0,0
15,13/02/20,Kerala,3,0,0,0
16,14/02/20,Kerala,3,0,0,0
17,15/02/20,Kerala,3,0,0,0
18,16/02/20,Kerala,3,0,0,0
19,17/02/20,Kerala,3,0,0,0
20,18/02/20,Kerala,3,0,0,0
21,19/02/20,Kerala,3,0,0,0
22,20/02/20,Kerala,3,0,0,0
23,21/02/20,Kerala,3,0,0,0
24,22/02/20,Kerala,3,0,0,0
25,23/02/20,Kerala,3,0,0,0
26,24/02/20,Kerala,3,0,0,0
27,25/02/20,Kerala,3,0,0,0
28,26/02/20,Kerala,3,0,0,0
29,27/02/20,Kerala,3,0,0,0
30,28/02/20,Kerala,3,0,0,0
31,29/02/20,Kerala,3,0,0,0
32,1/3/20,Kerala,3,0,0,0
33,2/3/20,Telengana,1,0,0,0
